DestinationName,Group,Line,LocationCode
New Carrollton,1,OR,K04
New Carrollton,1,OR,K05
New Carrollton,1,OR,K06
New Carrollton,1,OR,K07
Mt Vernon Sq 7th St-Convention Center,1,YL,C14
Huntington,2,YL,C14
Mt Vernon Sq 7th St-Convention Center,1,YL,C15
Huntington,2,YL,C15
Mt Vernon Sq 7th St-Convention Center,1,YL,E01
Huntington,2,YL,E01
Mt Vernon Sq 7th St-Convention Center,1,YL,F01
Huntington,2,YL,F01
Mt Vernon Sq 7th St-Convention Center,1,YL,F02
Huntington,2,YL,F02
Mt Vernon Sq 7th St-Convention Center,1,YL,F03
Huntington,2,YL,F03
